,carbohydrates_100g,energy_100g,fiber_100g,nutrition-score-fr_100g,proteins_100g,saturated-fat_100g,sodium_100g,sugars_100g
34009,5.725,197.0,0.1,0.0,0.1,0.1,0.0511811023622047,4.0
34010,29.625,1607.0,5.4,-4.0,7.9,0.7,0.12992125984252,0.2
34011,4.15,385.0,0.7,1.0,1.1,0.6,0.047244094488189,0.1
34012,9.8,368.0,1.5,2.0,0.4,0.19,0.0,14.2
34013,13.525,1879.0,1.6,10.0,3.6,1.8,0.279527559055118,15.0
34014,8.625,180.0,1.2,1.0,3.0,0.0,0.275590551181102,1.6
34015,13.725000000000001,368.0,1.5,0.0,3.2,0.4,0.0551181102362205,9.2
34016,12.225,314.0,0.9,-2.0,3.6,0.3,0.062992125984252,8.8
34017,9.049999999999999,209.0,0.0,-5.0,8.2,0.2,0.0393700787401575,3.7
34018,5.5,285.0,0.0,1.0,3.4,2.4,0.0393700787401575,4.9
34019,4.3,99.0,0.5375,2.25,0.4,0.1,0.236220472440945,0.3
34020,10.3,209.0,0.0,-1.0,4.6,0.5,0.0393700787401575,5.9
34021,11.0,397.0,0.0,3.0,4.1,2.2,0.0393700787401575,11.6
34022,9.4,289.0,0.0,2.0,0.6,0.5,0.0039370078740157,12.4
34023,9.8,1134.0,0.0,5.0,0.5,0.5,0.0039370078740157,12.7
34024,16.4,770.0,2.1,11.0,4.7,7.1,0.433070866141732,4.5
34025,13.9,452.0,0.0,1.0,3.5,0.6,0.244094488188976,2.6
34026,31.875,661.0,0.6,6.0,5.1,6.9,0.244094488188976,1.5
34027,12.4,1540.0,0.0,5.0,2.7,0.0,0.0984251968503937,7.0
34028,39.95,2071.0,3.0,18.0,7.0,10.0,0.118110236220472,29.0
34029,54.0,1272.0,0.0,5.0,7.3,0.0,0.492125984251968,6.6
34030,17.325000000000003,527.0,0.0,4.0,3.0,2.0,0.0748031496062992,15.1
34031,4.55,314.0,0.0,6.0,0.5,6.8,0.015748031496063,0.8
34032,15.15,523.0,0.0,5.0,3.0,2.0,0.078740157480315,19.7
34033,32.5,469.0,0.0,-4.0,12.0,1.0,0.0118110236220472,0.3
34034,11.0,640.0,0.0,0.0,14.0,1.4,0.275590551181102,0.4
34035,16.775,590.0,0.0,1.0,1.0,1.0,0.062992125984252,3.0
34036,5.75,159.0,0.4,2.0,1.1,0.8,0.220472440944882,0.5
34037,38.800000000000004,1653.0,4.5,-6.0,13.3,0.7,0.0007874015748031,3.0
34038,9.875,255.0,0.0,-1.0,6.9,0.5,0.275590551181102,0.8
34039,12.250000000000002,297.0,3.0,-1.0,5.2,0.1,0.366091732283465,10.1
34040,51.65,1632.0,0.6,4.0,6.2,0.1,0.0196850393700787,14.1
34041,6.85,276.0,1.2,-2.0,2.6,0.6,0.0196850393700787,1.5
34042,0.6,490.0,0.0,2.0,22.0,1.0,0.551181102362205,0.6
34043,10.05,188.0,0.0,-2.0,5.4,0.1,0.0511811023622047,5.6
34044,10.3,92.0,0.0,0.0,1.3,0.0,0.0078740157480315,1.9
34045,7.375000000000001,113.0,0.0,1.0,1.0,1.0,0.0039370078740157,6.0
34046,34.95,1812.0,1.5,18.0,3.6,8.5,0.0236220472440945,34.0
34047,12.9,310.0,0.0,0.0,4.3,0.8,0.0590551181102362,11.9
34048,8.475,201.0,0.0,-4.0,8.0,0.0,0.0393700787401575,4.0
34049,6.5,111.0,0.35,9.0,0.0,0.0,0.0078740157480315,6.5
34050,13.6,238.0,0.35,2.0,0.4,0.0,0.0,13.2
34051,5.0,92.0,0.0,8.0,0.0,0.05,0.0039370078740157,5.0
34052,71.96,442.21,4.725,-4.75,8.38,1.05,0.0859035433070866,5.1
34053,4.4,142.0,0.4,3.0,1.1,0.8,0.283464566929134,0.3
34054,13.0,218.0,0.0,16.0,0.0,0.0,0.0590551181102362,12.0
34055,21.6,785.0,4.8,-4.0,6.2,0.9,0.240157480314961,0.5
34056,5.174999999999999,2732.0,0.0,19.0,1.2,5.4,0.551181102362205,1.3
34057,7.1,196.0,4.0,-2.0,2.0,0.4,0.28740157480315,4.8
34058,46.0,908.0,5.9,-1.0,8.0,0.2,0.62992125984252,3.6
34059,9.05,506.0,0.61,2.0,3.8,0.8,0.354330708661417,0.8
34060,12.3,389.0,0.0,4.0,3.0,2.1,0.0511811023622047,13.1
34061,2.0,167.0,0.0,1.25,1.9,0.14,0.1830653543307085,1.84
